,track_id,acousticness,danceability,duration_ms,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2393,5a6wqVqrV0yjsziNl4q8Gi,0.0179,0.7,93257,0,0,0.749,0.155,-6.288,0,0.14,175.111,4,0.515
2394,6pQe3Jg2xlzv9tjkZ4eeIX,0.0182,0.535,139221,2.37e-06,2,0.954,0.283,-3.672,0,0.0895,127.972,4,0.355
2395,4O3HWR6j3Qht7ENIWlPLJt,0.857,0.841,146714,0,6,0.291,0.0897,-15.563,1,0.615,110.199,4,0.391
2396,0CqUiHrIo4YTzb9qjkVkLk,0.632,0.754,104422,0,8,0.877,0.392,-2.406,1,0.223,93.632,4,0.463
2397,0TKEz3H6quV9NLM1RPK4HL,0.217,0.547,150476,0,11,0.886,0.284,-4.122,0,0.0539,126.097,4,0.536
2398,1NFGiKJ3JnEfcoatmizJXE,0.395,0.779,180480,0,5,0.536,0.134,-9.241,0,0.0648,124.951,4,0.534
2399,6gyhp7IcNhTYzwlk8utsgP,0.409,0.556,171007,0,9,0.87,0.896,-3.738,0,0.101,100.002,4,0.59
2400,3EM71GPnUGJ75uDhkH77pq,0.76,0.601,181158,0,11,0.667,0.406,-6.311,1,0.0696,147.904,4,0.632
2401,5TPXcKSOlPaz2pkYbWiWHU,0.56,0.627,176492,0,11,0.816,0.735,-1.889,1,0.0405,123.968,4,0.64
2402,4NFkcqZ3jU2O9rgEbuluVn,0.117,0.867,212029,0,11,0.627,0.0753,-3.661,0,0.128,80.011,4,0.804
2403,04vzhKfl5HtPEgrdZJCZ7L,0.814,0.531,124238,1.57e-06,0,0.464,0.133,-9.882,0,0.346,170.085,4,0.643
2404,3imzmQM2DPPVBLMiBBexRL,0.7,0.76,170000,0,5,0.305,0.184,-10.233,0,0.303,119.992,4,0.788
2405,0XyPPyGes0omXppV5YE8gy,0.345,0.942,138000,8.25e-05,11,0.85,0.382,-1.821,0,0.0909,119.989,4,0.963
2406,3yHXEidSu4gYVRqKoI653O,0.401,0.569,180505,0,4,0.941,0.891,-4.135,0,0.312,73.776,4,0.608
2407,2HMbGPbGiqGaHXzFkQAmZI,0.353,0.504,164384,0,1,0.827,0.101,-2.948,1,0.115,75.96,4,0.737
2408,4cxQWmXmmbFoWvV8qipQTe,0.708,0.586,170568,0,5,0.734,0.492,-5.048,1,0.0474,90.551,4,0.572
2409,2ykYxd8UGHOsdjP3Z5jSHh,0.486,0.726,171078,0,1,0.841,0.778,-2.811,1,0.0474,118.0,4,0.773
2410,1Oxshg4204lRdcogzvdP4x,0.165,0.829,191667,0,1,0.91,0.0526,-3.461,0,0.0567,144.031,4,0.962
2411,6kl1QzJtnTgToGGxZWeTJw,0.205,0.775,170918,0.0273,4,0.442,0.112,-11.229,0,0.067,118.04,4,0.439
2412,2YGtFjsTpSrsGb2rQy4ARj,0.407,0.699,166747,2.49e-05,7,0.848,0.114,-5.331,1,0.431,139.825,4,0.754
2413,3sNVsP50132BTNlImLx70i,0.145,0.367,229147,0,1,0.665,0.113,-2.821,1,0.0465,148.913,4,0.31
